date,reference_start,target_range,field,value
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Rate: mode,511.27
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Rate: 75th percentile,535.78
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: cut,39.57
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: hike,46.63
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 75bps - 100bps,0.64
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 100bps - 125bps,0.63
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 125bps - 150bps,0.57
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 150bps - 175bps,0.52
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 175bps - 200bps,0.51
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 200bps - 225bps,0.67
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 225bps - 250bps,1.07
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 250bps - 275bps,1.75
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 275bps - 300bps,2.53
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 300bps - 325bps,3.04
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 325bps - 350bps,3.00
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 350bps - 375bps,2.53
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 375bps - 400bps,2.25
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 400bps - 425bps,3.08
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 425bps - 450bps,5.77
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 450bps - 475bps,10.11
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 475bps - 500bps,14.34
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 500bps - 525bps,16.01
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 525bps - 550bps,13.99
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 550bps - 575bps,9.59
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 575bps - 600bps,5.17
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 600bps - 625bps,2.21
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Rate: 25th percentile,371.49
2023-03-30,2023-12-20T00:00:00Z,475bps - 500bps,Rate: mean,431.91
