Index,name,value,term
2020-12-21,ZQU24.CBT.Volume,0,2024 Sep
2020-12-21,ZQU24.CBT.Adjusted,99.8499984741211,2024 Sep
2020-12-22,ZQU24.CBT.Open,99.8499984741211,2024 Sep
2020-12-22,ZQU24.CBT.High,99.8499984741211,2024 Sep
2020-12-22,ZQU24.CBT.Low,99.8499984741211,2024 Sep
2020-12-22,ZQU24.CBT.Close,99.8499984741211,2024 Sep
2020-12-22,ZQU24.CBT.Volume,0,2024 Sep
2020-12-22,ZQU24.CBT.Adjusted,99.8499984741211,2024 Sep
2020-12-23,ZQU24.CBT.Open,99.8499984741211,2024 Sep
2020-12-23,ZQU24.CBT.High,99.8499984741211,2024 Sep
2020-12-23,ZQU24.CBT.Low,99.8499984741211,2024 Sep
2020-12-23,ZQU24.CBT.Close,99.8499984741211,2024 Sep
2020-12-23,ZQU24.CBT.Volume,0,2024 Sep
2020-12-23,ZQU24.CBT.Adjusted,99.8499984741211,2024 Sep
2020-12-24,ZQU24.CBT.Open,99.8550033569336,2024 Sep
2020-12-24,ZQU24.CBT.High,99.8550033569336,2024 Sep
2020-12-24,ZQU24.CBT.Low,99.8550033569336,2024 Sep
2020-12-24,ZQU24.CBT.Close,99.8550033569336,2024 Sep
2020-12-24,ZQU24.CBT.Volume,0,2024 Sep
